Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40934-53095,QB,Kyle,Kyle Allen,Allen,13.68444485,9,7200,WAS@CAR,CAR,WAS,,,,,
40934-22027,QB,Nick,Nick Foles,Foles,13.57333374,3,7500,TB@JAC,JAC,TB,,,,,
40934-12532,D,Detroit,Detroit Lions,Lions,5.818181818,11,4400,CHI@DET,DET,CHI,,,,,
40934-33260,WR,DeVante,DeVante Parker,Parker,10.59090909,11,6000,PHI@MIA,MIA,PHI,,,,,
40934-28744,RB,Raheem,Raheem Mostert,Mostert,7.040000153,10,4800,SF@BAL,SF,BAL,,,,,
40934-28502,WR,Devin,Devin Smith,Smith,6.599999746,3,4500,BUF@DAL,DAL,BUF,,,,,
40934-29645,RB,Javorius,Javorius Allen,Allen,6.918181679,11,4500,GB@NYG,NYG,GB,,,,,
40934-6826,QB,Eli,Eli Manning,Manning,13.52000046,2,6000,GB@NYG,NYG,GB,,,,,
40934-54010,RB,Brian,Brian Hill,Hill,6.9,5,5500,NO@ATL,ATL,NO,,,,,
40934-40857,RB,Peyton,Peyton Barber,Barber,6.818181818,11,5400,TB@JAC,TB,JAC,,,,,
40934-52897,RB,Darrel,Darrel Williams,Williams,6.525000095,8,5400,OAK@KC,KC,OAK,,,,,
40934-69184,WR,Dillon,Dillon Mitchell,Mitchell,0,0,4500,MIN@SEA,MIN,SEA,,,,,
40934-57840,RB,Rashaad,Rashaad Penny,Penny,6.357142857,7,6100,MIN@SEA,SEA,MIN,,,,,
40934-66008,WR,Diontae,Diontae Johnson,Johnson,6.836363359,11,5300,CLE@PIT,PIT,CLE,,,,,
40934-54817,WR,Diontae,Diontae Spencer,Spencer,0.55,10,4600,LAC@DEN,DEN,LAC,,,,,
40934-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,14.8545449,11,6900,TB@JAC,JAC,TB,,,,,
40934-63043,WR,DJ,DJ Moore,Moore,13.07272755,11,6800,WAS@CAR,CAR,WAS,,,,,
40934-73048,WR,DK,DK Metcalf,Metcalf,10.09999986,11,6300,MIN@SEA,SEA,MIN,,,,,
40934-31561,WR,Donte,Donte Moncrief,Moncrief,0.949999988,4,4500,WAS@CAR,CAR,WAS,,,,,
40934-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,6.314285823,7,5000,SF@BAL,SF,BAL,,,,,
40934-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,13.39400024,10,7100,PHI@MIA,MIA,PHI,,,,,
40934-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,13.21428571,7,6000,NO@ATL,NO,ATL,,,,,
40934-56711,TE,Drew,Drew Sample,Sample,1.375,4,4000,NYJ@CIN,CIN,NYJ,O,Ankle,,John Brown,9.22
40934-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,12.19199982,10,6800,CHI@DET,CHI,DET,,,,,
40934-27338,RB,Rex,Rex Burkhead,Burkhead,6.262499809,8,5400,NE@HOU,NE,HOU,,,,,
40934-54280,WR,Duke,Duke Williams,Williams,4.933333397,3,4500,BUF@DAL,BUF,DAL,,,,,
